sku,descripcion,stock,fecha
BD-XMS-4,Dukier Christmas Bandana L,0,2025-05-06
,Dukier Pegatina,4,2025-05-06
BD-HRT-2,Dukier Heart Bandana S,1,2025-05-06
PR-AR-6,Dukier Percha Arnés Reversible XXL,2036,2025-05-06
PR-AC-3,Dukier Percha Arnés Clásico L,0,2025-05-06
PR-CL-1,Dukier Percha Collar XS,249,2025-05-06
PR-CR-2,Dukier Percha Correa S,0,2025-05-06
PR-CR-4,Dukier Percha Correa L,2,2025-05-06
PR-CZ-0,Dukier Percha Correa zigzag,23,2025-05-06
PR-PJ-2,Dukier Percha Pajarita S,1880,2025-05-06
PR-PJ-4,Dukier Percha Pajarita L,1982,2025-05-06
PR-BD-2,Dukier Percha Bandana S,2045,2025-05-06
PR-BD-4,Dukier Percha Bandana L,1829,2025-05-06
PR-CG-0,Dukier Percha Collar Gato,1666,2025-05-06
CJ-BLS-0,Dukier Bolsas Dukier,1741,2025-05-06
AC-PRC-2,Dukier Princess Arnés Clásico S,0,2025-05-06
AC-PRC-3,Dukier Princess Arnés Clásico M,155,2025-05-06
AC-PRC-4,Dukier Princess Arnés Clásico L,179,2025-05-06
AC-VRS-2,Dukier Virus Arnés Clásico S,0,2025-05-06
AC-VRS-3,Dukier Virus Arnés Clásico M,0,2025-05-06
AC-VRS-4,Dukier Virus Arnés Clásico L,0,2025-05-06
AR-PRC-1,Dukier Princess Arnés Reversible XS,88,2025-05-06
AR-PRC-2,Dukier Princess Arnés Reversible S,0,2025-05-06
AR-PRC-3,Dukier Princess Arnés Reversible M,50,2025-05-06
AR-PRC-4,Dukier Princess Arnés Reversible L,160,2025-05-06
AR-PRC-5,Dukier Princess Arnés Reversible XL,462,2025-05-06
AR-VRS-1,Dukier Virus Arnés Reversible XS,0,2025-05-06
AR-VRS-2,Dukier Virus Arnés Reversible S,0,2025-05-06
AR-VRS-3,Dukier Virus Arnés Reversible M,0,2025-05-06
AR-VRS-4,Dukier Virus Arnés Reversible L,0,2025-05-06
AR-VRS-5,Dukier Virus Arnés Reversible XL,0,2025-05-06
CL-PRC-2,Dukier Princess Collar S,110,2025-05-06
CL-PRC-3,Dukier Princess Collar M,111,2025-05-06
CL-PRC-4,Dukier Princess Collar L,295,2025-05-06
CL-VRS-1,Dukier Virus Collar XS,0,2025-05-06
CL-VRS-2,Dukier Virus Collar S,0,2025-05-06
CL-VRS-3,Dukier Virus Collar M,0,2025-05-06
CL-VRS-4,Dukier Virus Collar L,0,2025-05-06
CR-PRC-4,Dukier Princess Correa L,6,2025-05-06
CR-VRS-2,Dukier Virus Correa S,0,2025-05-06
CR-VRS-4,Dukier Virus Correa L,0,2025-05-06
PJ-PRC-2,Dukier Pajarita Princess S,0,2025-05-06
PJ-PRC-4,Dukier Pajarita Princess L,32,2025-05-06
PJ-VRS-2,Dukier Pajarita Virus S,0,2025-05-06
PJ-VRS-4,Dukier Pajarita Virus L,0,2025-05-06
CL-PRC-1,Dukier Princess Collar XS,133,2025-05-06
CR-PRC-2,Dukier Princess Correa S,15,2025-05-06
CT-ES-0,Dukier Catálogo Español,3,2025-05-06
CT-EN-0,Dukier Catálogo Inglés,0,2025-05-06
LDUKI0000000636,Dukier Expositor Dukier,5,2025-05-06
,Dukier Pegatina establecimiento autorizado,1,2025-05-06
CL-CLF-1,Dukier California Collar XS,59,2025-05-06
CL-CLF-2,Dukier California Collar S,0,2025-05-06
CL-CLF-3,Dukier California Collar M,36,2025-05-06
CL-CLF-4,Dukier California Collar L,0,2025-05-06
CL-NTY-1,Dukier 90´s Collar XS,0,2025-05-06
CL-NTY-2,Dukier 90´s Collar S,0,2025-05-06
CL-NTY-3,Dukier 90´s Collar M,0,2025-05-06
CL-NTY-4,Dukier 90´s Collar L,0,2025-05-06
AR-CLF-1,Dukier California Arnés Reversible XS,0,2025-05-06
AR-CLF-2,Dukier California Arnés Reversible S,29,2025-05-06
AR-CLF-3,Dukier California Arnés Reversible M,36,2025-05-06
AR-CLF-4,Dukier California Arnés Reversible L,0,2025-05-06
AR-CLF-5,Dukier California Arnés Reversible XL,40,2025-05-06
AR-NTY-1,Dukier 90´s Arnés Reversible XS,0,2025-05-06
AR-NTY-2,Dukier 90´s Arnés Reversible S,0,2025-05-06
AR-NTY-3,Dukier 90´s Arnés Reversible M,0,2025-05-06
AR-NTY-4,Dukier 90´s Arnés Reversible L,0,2025-05-06
AR-NTY-5,Dukier 90´s Arnés Reversible XL,0,2025-05-06
AC-CLF-2,Dukier California Arnés Clásico S,68,2025-05-06
AC-CLF-3,Dukier California Arnés Clásico M,37,2025-05-06
AC-CLF-4,Dukier California Arnés Clásico L,13,2025-05-06
AC-NTY-2,Dukier 90´s Arnés Clásico S,0,2025-05-06
AC-NTY-3,Dukier 90´s Arnés Clásico M,0,2025-05-06
AC-NTY-4,Dukier 90´s Arnés Clásico L,0,2025-05-06
CR-CLF-2,Dukier California Correa S,38,2025-05-06
CR-CLF-4,Dukier California Correa L,19,2025-05-06
CR-NTY-2,Dukier 90´s Correa S,0,2025-05-06
CR-NTY-4,Dukier 90´s Correa L,0,2025-05-06
PJ-CLF-2,Dukier Pajarita California S,0,2025-05-06
PJ-CLF-4,Dukier Pajarita California L,61,2025-05-06
PJ-NTY-2,Dukier Pajarita 90´s S,0,2025-05-06
PJ-NTY-4,Dukier Pajarita 90´s L,0,2025-05-06
BD-CTS-2,Dukier Cactus Bandana S,0,2025-05-06
BD-CTS-4,Dukier Cactus Bandana L,0,2025-05-06
BD-BNA-2,Dukier Banana Bandana S,0,2025-05-06
BD-BNA-4,Dukier Banana Bandana L,0,2025-05-06
BD-CKI-2,Dukier Cookie Bandana S,0,2025-05-06
BD-CKI-4,Dukier Cookie Bandana L,0,2025-05-06
CL-DIN-1,Dukier Dino Collar XS,2,2025-05-06
CL-DIN-2,Dukier Dino Collar S,0,2025-05-06
CL-DIN-3,Dukier Dino Collar M,0,2025-05-06
CL-DIN-4,Dukier Dino Collar L,0,2025-05-06
CL-MEX-1,Dukier México Collar XS,0,2025-05-06
CL-MEX-2,Dukier México Collar S,0,2025-05-06
CL-MEX-3,Dukier México Collar M,0,2025-05-06
CL-MEX-4,Dukier México Collar L,0,2025-05-06
CL-TAP-1,Dukier Tapas Collar XS,0,2025-05-06
CL-TAP-2,Dukier Tapas Collar S,0,2025-05-06
CL-TAP-3,Dukier Tapas Collar M,0,2025-05-06
CL-TAP-4,Dukier Tapas Collar L,0,2025-05-06
CL-POP-1,Dukier Popcorn Collar XS,0,2025-05-06
CL-POP-2,Dukier Popcorn Collar S,0,2025-05-06
CL-POP-3,Dukier Popcorn Collar M,0,2025-05-06
CL-POP-4,Dukier Popcorn Collar L,0,2025-05-06
AR-DIN-1,Dukier Dino Arnés Reversible XS,3,2025-05-06
AR-DIN-2,Dukier Dino Arnés Reversible S,0,2025-05-06
AR-DIN-3,Dukier Dino Arnés Reversible M,0,2025-05-06
AR-DIN-4,Dukier Dino Arnés Reversible L,0,2025-05-06
AR-DIN-5,Dukier Dino Arnés Reversible XL,-1,2025-05-06
AR-MEX-1,Dukier México Arnés Reversible XS,0,2025-05-06
AR-MEX-2,Dukier México Arnés Reversible S,0,2025-05-06
AR-MEX-3,Dukier México Arnés Reversible M,0,2025-05-06
AR-MEX-4,Dukier México Arnés Reversible L,0,2025-05-06
AR-MEX-5,Dukier México Arnés Reversible XL,0,2025-05-06
AR-TAP-1,Dukier Tapas Arnés Reversible XS,0,2025-05-06
AR-TAP-2,Dukier Tapas Arnés Reversible S,0,2025-05-06
AR-TAP-3,Dukier Tapas Arnés Reversible M,0,2025-05-06
AR-TAP-4,Dukier Tapas Arnés Reversible L,0,2025-05-06
AR-TAP-5,Dukier Tapas Arnés Reversible XL,0,2025-05-06
AR-POP-1,Dukier Popcorn Arnés Reversible XS,0,2025-05-06
AR-POP-2,Dukier Popcorn Arnés Reversible S,0,2025-05-06
AR-POP-3,Dukier Popcorn Arnés Reversible M,0,2025-05-06
AR-POP-4,Dukier Popcorn Arnés Reversible L,0,2025-05-06
AR-POP-5,Dukier Popcorn Arnés Reversible XL,0,2025-05-06
AC-DIN-2,Dukier Dino Arnés Clásico S,-1,2025-05-06
AC-DIN-3,Dukier Dino Arnés Clásico M,0,2025-05-06
AC-DIN-4,Dukier Dino Arnés Clásico L,0,2025-05-06
AC-MEX-2,Dukier México Arnés Clásico S,0,2025-05-06
AC-MEX-3,Dukier México Arnés Clásico M,0,2025-05-06
AC-MEX-4,Dukier México Arnés Clásico L,0,2025-05-06
AC-TAP-2,Dukier Tapas Arnés Clásico S,0,2025-05-06
AC-TAP-3,Dukier Tapas Arnés Clásico M,0,2025-05-06
AC-TAP-4,Dukier Tapas Arnés Clásico L,0,2025-05-06
AC-POP-2,Dukier Popcorn Arnés Clásico S,0,2025-05-06
AC-POP-3,Dukier Popcorn Arnés Clásico M,0,2025-05-06
AC-POP-4,Dukier Popcorn Arnés Clásico L,0,2025-05-06
CR-DINO-2,Dukier Dino Correa S,6,2025-05-06
CR-DINO-4,Dukier Dino Correa L,0,2025-05-06
CR-MEX-2,Dukier México Correa S,0,2025-05-06
CR-MEX-4,Dukier México Correa L,0,2025-05-06
CR-TAP-2,Dukier Tapas Correa S,0,2025-05-06
CR-TAP-4,Dukier Tapas Correa L,0,2025-05-06
CR-POP-2,Dukier Popcorn Correa S,0,2025-05-06
CR-POP-4,Dukier Popcorn Correa L,0,2025-05-06
PJ-DIN-2,Dukier Pajarita Dino S,0,2025-05-06
PJ-DIN-4,Dukier Pajarita Dino L,0,2025-05-06
PJ-MEX-2,Dukier Pajarita México S,0,2025-05-06
PJ-MEX-4,Dukier Pajarita México L,0,2025-05-06
PJ-TAP-2,Dukier Pajarita Tapas S,0,2025-05-06
PJ-TAP-4,Dukier Pajarita Tapas L,0,2025-05-06
PJ-POP-2,Dukier Pajarita Popcorn S,0,2025-05-06
PJ-POP-4,Dukier Pajarita Popcorn L,0,2025-05-06
,Dukier Tarjeta Navidad inglés,78,2025-05-06
,Dukier Tarjeta Navidad español,1,2025-05-06
PB-TAP-0,Dukier Tapas Porta Bolsas,0,2025-05-06
PB-MEX-0,Dukier México Porta Bolsas,0,2025-05-06
PB-DINO-0,Dukier Dino Porta Bolsas,0,2025-05-06
PB-POP-0,Dukier Popcorn Porta Bolsas,0,2025-05-06
CR-CMO-3,Dukier Camo Correa L,67,2025-05-06
XP-PRD-1,Dukier Expositor de Pared,1,2025-05-06
XP-HXG-1,Dukier Expositor Giratorio Hexagono,0,2025-05-06
,Dukier Percha Nueva Pequeña,297,2025-05-06
,Dukier Percha Nueva Mediana,0,2025-05-06
,Dukier Percha Nueva Grande,1940,2025-05-06
TURC010,Dukier TURC010,0,2025-05-06
TURC016EK,Dukier TURC016EK,0,2025-05-06
TURC003,Dukier TURC003,0,2025-05-06
TURC004,Dukier TURC004,0,2025-05-06
TURC007,Dukier TURC007,1,2025-05-06
TURC011,Dukier TURC011,0,2025-05-06
TURC012,Dukier TURC012,0,2025-05-06
TURC014,Dukier TURC014,0,2025-05-06
TURC015,Dukier TURC015,0,2025-05-06
TURC018PM,Dukier TURC018PM,0,2025-05-06
TURC002,Dukier TURC002,0,2025-05-06
TURC005,Dukier TURC005,0,2025-05-06
SOBRE AK12,Dukier SOBRE AK12,0,2025-05-06
SOBRE AK13,Dukier SOBRE AK13,0,2025-05-06
SOBRE AK14,Dukier SOBRE AK14,0,2025-05-06
CL-TRT-1,Dukier Turtle Collar XS,321,2025-05-06
CL-TRT-2,Dukier Turtle Collar S,295,2025-05-06
CL-TRT-3,Dukier Turtle Collar M,246,2025-05-06
CL-TRT-4,Dukier Turtle Collar L,164,2025-05-06
CL-VGN-1,Dukier Vegan Collar XS,0,2025-05-06
CL-VGN-2,Dukier Vegan Collar S,0,2025-05-06
CL-VGN-3,Dukier Vegan Collar M,0,2025-05-06
CL-VGN-4,Dukier Vegan Collar L,0,2025-05-06
CL-DLM-1,Dukier Dalmatian Collar XS,0,2025-05-06
CL-DLM-2,Dukier Dalmatian Collar S,0,2025-05-06
CL-DLM-3,Dukier Dalmatian Collar M,0,2025-05-06
CL-DLM-4,Dukier Dalmatian Collar L,0,2025-05-06
CL-BNA-1,Dukier Banana Collar XS,0,2025-05-06
CL-BNA-2,Dukier Banana Collar S,0,2025-05-06
CL-BNA-3,Dukier Banana Collar M,0,2025-05-06
CL-BNA-4,Dukier Banana Collar L,0,2025-05-06
AR-TRT-1,Dukier Turtle Arnés Reversible XS,279,2025-05-06
AR-TRT-2,Dukier Turtle Arnés Reversible S,384,2025-05-06
AR-TRT-3,Dukier Turtle Arnés Reversible M,343,2025-05-06
AR-TRT-4,Dukier Turtle Arnés Reversible L,222,2025-05-06
