sku,fecha,cantidad
PB-LPG-2,2025-06-01,200
PB-MMD-2,2025-06-01,50
PB-MNT-2,2025-06-01,50
PB-PKG-2,2025-06-01,180
PB-PNK-2,2025-06-01,200
PB-PRP-2,2025-06-01,70
PB-RED-2,2025-06-01,90
PB-SML-2,2025-06-01,100
PB-STC-2,2025-06-01,0
PB-SUN-2,2025-06-01,150
PB-TAT-2,2025-06-01,100
PB-TRT-2,2025-06-01,150
PB-UNC-2,2025-06-01,50
PBV-BEI-2,2025-06-01,150
PBV-BLK-2,2025-06-01,100
PBV-BLU-2,2025-06-01,150
PBV-COR-2,2025-06-01,200
PBV-GRN-2,2025-06-01,150
PBV-PNK-2,2025-06-01,150
PBV-PRP-2,2025-06-01,200
PBV-SGR-2,2025-06-01,200
PBV-YEL-2,2025-06-01,200
PB-YLL-2,2025-06-01,50
PC-AVC-U,2025-06-01,300
PC-FPW-U,2025-06-01,300
PC-POO-U,2025-06-01,300
PJ-LBS-4,2025-06-01,50
PJ-LMN-4,2025-06-01,50
PJ-SUN-4,2025-06-01,50
TW-AVC-0,2025-06-01,100
TW-BRY-0,2025-06-01,120
TW-LBS-0,2025-06-01,100
TW-LMN-0,2025-06-01,100
TW-MMD-0,2025-06-01,70
TW-SML-0,2025-06-01,120
TW-SUN-0,2025-06-01,100
AC-ALN-3,2025-07-01,50
AC-CLF-3,2025-07-01,50
AC-FPW-4,2025-07-01,50
AC-GMM-3,2025-07-01,50
AC-LPG-2,2025-07-01,120
AC-STC-3,2025-07-01,240
AC-STC-4,2025-07-01,110
AR-ALN-3,2025-07-01,50
AR-BRY-1,2025-07-01,50
AR-BRY-3,2025-07-01,52
AR-FPW-4,2025-07-01,50
AR-LPG-2,2025-07-01,110
AR-LPG-3,2025-07-01,70
AR-LPG-4,2025-07-01,55
AR-PKG-1,2025-07-01,80
AR-PKG-2,2025-07-01,80
AR-STC-2,2025-07-01,230
AR-STC-3,2025-07-01,230
AT-AVC-5,2025-07-01,50
AT-BRY-2,2025-07-01,50
AT-BRY-4,2025-07-01,50
AT-BRY-5,2025-07-01,50
AT-FPW-5,2025-07-01,50
AT-SML-2,2025-07-01,100
BH-BLU-2,2025-07-01,50
BH-BLU-3,2025-07-01,50
BH-BRY-1,2025-07-01,50
BH-FPW-1,2025-07-01,50
BH-GMM-1,2025-07-01,50
BH-GMM-2,2025-07-01,50
BH-GMM-3,2025-07-01,50
BH-PNK-1,2025-07-01,50
BH-PNK-2,2025-07-01,50
BH-PNK-3,2025-07-01,50
BH-PRP-2,2025-07-01,50
BH-RED-1,2025-07-01,50
BH-RED-2,2025-07-01,50
BH-RED-3,2025-07-01,50
BH-TAT-2,2025-07-01,50
BH-TRT-1,2025-07-01,50
CG-BRY-0,2025-07-01,50
CG-FPW-0,2025-07-01,50
CG-LPG-0,2025-07-01,50
CG-PLN-0,2025-07-01,50
CG-PRC-0,2025-07-01,80
CG-RCK-0,2025-07-01,65
CG-SML-0,2025-07-01,50
CG-TAT-0,2025-07-01,150
CG-TDY-0,2025-07-01,90
CG-TER-0,2025-07-01,65
CL-ALN-3,2025-07-01,50
CL-BRY-2,2025-07-01,50
CL-BRY-3,2025-07-01,50
CL-CLF-1,2025-07-01,50
CL-DGT-1,2025-07-01,50
CL-LPG-2,2025-07-01,80
CL-LPG-3,2025-07-01,70
CL-PKG-2,2025-07-01,50
CL-SML-3,2025-07-01,210
CL-SML-4,2025-07-01,160
CL-STC-3,2025-07-01,230
CL-STC-4,2025-07-01,100
CR-BLU-2,2025-07-01,50
CR-BRY-4,2025-07-01,100
CR-CLF-2,2025-07-01,55
CR-CLF-4,2025-07-01,55
CR-DGT-4,2025-07-01,85
CR-GMM-2,2025-07-01,56
CR-LPG-2,2025-07-01,170
CR-PKG-2,2025-07-01,110
CR-PRP-2,2025-07-01,50
CR-PRP-4,2025-07-01,50
CR-SML-4,2025-07-01,330
CR-STC-4,2025-07-01,190
MN-TRT-0,2025-07-01,50
PB-ALN-2,2025-07-01,110
PB-LPG-2,2025-07-01,180
PB-MON-2,2025-07-01,100
PB-PKG-2,2025-07-01,210
PB-STC-2,2025-07-01,170
PB-SWT-2,2025-07-01,50
PBV-BLK-2,2025-07-01,90
PJ-BRY-4,2025-07-01,50
PJ-TAT-2,2025-07-01,50
AC-ALN-2,2025-08-01,50
AC-ALN-4,2025-08-01,50
AC-AVC-2,2025-08-01,80
AC-BEI-2,2025-08-01,100
AC-BEI-3,2025-08-01,100
AC-BEI-4,2025-08-01,80
AC-BLU-2,2025-08-01,50
AC-BRY-4,2025-08-01,50
AC-CLF-2,2025-08-01,130
AC-CLF-3,2025-08-01,110
AC-DGT-4,2025-08-01,60
AC-FPW-2,2025-08-01,50
AC-FPW-3,2025-08-01,60
AC-GMM-2,2025-08-01,50
AC-GMM-3,2025-08-01,50
AC-LPG-3,2025-08-01,90
AC-LPG-4,2025-08-01,50
AC-MON-2,2025-08-01,50
AC-MON-3,2025-08-01,50
AC-MON-4,2025-08-01,50
AC-PNK-2,2025-08-01,50
AC-PRP-3,2025-08-01,50
AC-RED-3,2025-08-01,50
AC-SBL-2,2025-08-01,100
AC-SBL-3,2025-08-01,100
AC-SBL-4,2025-08-01,80
AC-SGR-2,2025-08-01,100
AC-SGR-3,2025-08-01,100
AC-SGR-4,2025-08-01,80
AC-TAT-2,2025-08-01,120
AC-TAT-3,2025-08-01,100
AC-TER-2,2025-08-01,100
AC-TER-3,2025-08-01,100
AC-TER-4,2025-08-01,80
ACV-BLK-3,2025-08-01,60
AC-VIO-2,2025-08-01,100
AC-VIO-3,2025-08-01,100
AC-VIO-4,2025-08-01,80
AC-YLL-3,2025-08-01,50
AF-BLU-0,2025-08-01,50
AF-MNT-0,2025-08-01,70
AF-PNK-0,2025-08-01,50
AF-PRP-0,2025-08-01,70
AR-CLF-1,2025-08-01,60
AR-CLF-2,2025-08-01,110
AR-CLF-3,2025-08-01,100
AR-CRC-1,2025-08-01,50
AR-CRC-2,2025-08-01,75
AR-CRC-3,2025-08-01,75
AR-CRC-4,2025-08-01,50
AR-CRC-5,2025-08-01,50
AR-CRY-1,2025-08-01,50
AR-CRY-2,2025-08-01,75
AR-CRY-3,2025-08-01,75
AR-CRY-4,2025-08-01,50
AR-DGT-1,2025-08-01,50
AR-FPW-2,2025-08-01,75
AR-FPW-3,2025-08-01,60
AR-GMM-1,2025-08-01,50
AR-GMM-2,2025-08-01,50
AR-MON-2,2025-08-01,50
AR-MON-3,2025-08-01,60
AR-MON-5,2025-08-01,50
AR-STC-1,2025-08-01,280
AR-STC-2,2025-08-01,400
AR-UNC-2,2025-08-01,50
AT-ALN-4,2025-08-01,50
AT-ALN-5,2025-08-01,50
AT-AVC-2,2025-08-01,60
AT-BRY-2,2025-08-01,80
AT-BRY-4,2025-08-01,80
AT-FPW-2,2025-08-01,50
AT-GMM-2,2025-08-01,50
AT-GMM-3,2025-08-01,50
AT-SML-4,2025-08-01,120
AT-SML-5,2025-08-01,60
AT-TAT-3,2025-08-01,60
AT-TRT-4,2025-08-01,60
BH-AVC-1,2025-08-01,65
BH-AVC-2,2025-08-01,65
BH-AVC-3,2025-08-01,60
BH-BEI-0,2025-08-01,50
BH-BEI-1,2025-08-01,100
BH-BEI-2,2025-08-01,100
BH-BEI-3,2025-08-01,100
BH-BEI-4,2025-08-01,80
BH-BEI-5,2025-08-01,50
BH-BRY-4,2025-08-01,50
BH-DGT-1,2025-08-01,60
BH-FPW-4,2025-08-01,50
BH-MNT-2,2025-08-01,50
BH-PNK-4,2025-08-01,50
BH-RED-4,2025-08-01,50
BH-SBL-0,2025-08-01,50
BH-SBL-1,2025-08-01,100
BH-SBL-2,2025-08-01,100
BH-SBL-3,2025-08-01,100
BH-SBL-4,2025-08-01,80
BH-SBL-5,2025-08-01,50
BH-SGR-0,2025-08-01,50
BH-SGR-1,2025-08-01,100
BH-SGR-2,2025-08-01,100
BH-SGR-3,2025-08-01,100
BH-SGR-4,2025-08-01,80
BH-SGR-5,2025-08-01,50
BH-SML-1,2025-08-01,90
BH-SML-2,2025-08-01,80
BH-TAT-4,2025-08-01,50
BH-TER-0,2025-08-01,50
BH-TER-1,2025-08-01,100
BH-TER-2,2025-08-01,100
BH-TER-3,2025-08-01,100
BH-TER-4,2025-08-01,80
BH-TER-5,2025-08-01,50
BH-VIO-0,2025-08-01,50
BH-VIO-1,2025-08-01,100
BH-VIO-2,2025-08-01,100
BH-VIO-3,2025-08-01,100
BH-VIO-4,2025-08-01,80
BH-VIO-5,2025-08-01,50
CG-AVC-0,2025-08-01,70
CG-LPG-0,2025-08-01,70
CG-MON-0,2025-08-01,50
CG-PLN-0,2025-08-01,150
CG-PRC-0,2025-08-01,200
CG-RCK-0,2025-08-01,150
CG-SML-0,2025-08-01,70
CG-TDY-0,2025-08-01,140
CG-TER-0,2025-08-01,170
CG-UNC-0,2025-08-01,50
CL-BEI-2,2025-08-01,50
CL-BEI-3,2025-08-01,50
CL-BEI-4,2025-08-01,50
CL-BLU-3,2025-08-01,50
CL-BLU-4,2025-08-01,50
CL-BRY-3,2025-08-01,70
CL-BRY-4,2025-08-01,50
CL-CLF-1,2025-08-01,60
CL-CLF-2,2025-08-01,50
CL-CLF-3,2025-08-01,80
CL-DGT-1,2025-08-01,70
CL-DGT-2,2025-08-01,60
CL-DGT-3,2025-08-01,60
CL-MON-1,2025-08-01,50
CL-MON-3,2025-08-01,50
CL-PNK-2,2025-08-01,50
CL-SBL-1,2025-08-01,50
CL-SBL-2,2025-08-01,50
CL-SBL-3,2025-08-01,50
CL-SGR-2,2025-08-01,50
CL-SGR-3,2025-08-01,50
CL-SGR-4,2025-08-01,50
